timestamps	CRIX
01.02.2018	37667.68313
02.02.2018	33370.50543
03.02.2018	31452.83534
04.02.2018	32465.31762
05.02.2018	29516.75724
06.02.2018	24039.06858
07.02.2018	27411.28287
08.02.2018	26497.8278
09.02.2018	28990.84918
10.02.2018	31198.67834
11.02.2018	31282.48985
12.02.2018	29718.34312
13.02.2018	32006.79571
14.02.2018	30889.20396
15.02.2018	34142.12374
16.02.2018	35447.94334
17.02.2018	35814.37807
18.02.2018	37914.44971
19.02.2018	35841.86338
20.02.2018	37130.18792
21.02.2018	36983.0935
22.02.2018	36690.59834
23.02.2018	32399.78765
24.02.2018	33774.23807
25.02.2018	32015.47341
26.02.2018	32282.40118
27.02.2018	33724.08675
28.02.2018	34345.64498
01.03.2018	33050.14601
02.03.2018	34186.74082
03.03.2018	34373.0474
04.03.2018	34542.5149
05.03.2018	34851.2297
06.03.2018	34946.61018
07.03.2018	32911.62332
08.03.2018	30696.70095
09.03.2018	28823.83893
10.03.2018	28802.07962
11.03.2018	27605.30285
12.03.2018	29277.38383
13.03.2018	28409.14445
14.03.2018	28246.69759
15.03.2018	25265.76598
16.03.2018	25339.2001
17.03.2018	25576.65807
18.03.2018	23938.24955
19.03.2018	24013.64324
20.03.2018	25557.1946
21.03.2018	26146.83332
22.03.2018	26253.72355
23.03.2018	25434.69966
24.03.2018	25480.90994
25.03.2018	24925.72827
26.03.2018	24673.69199
27.03.2018	23470.5622
28.03.2018	22292.8564
29.03.2018	22405.46443
30.03.2018	19945.99544
31.03.2018	19662.32317
01.04.2018	19758.65729
02.04.2018	19179.86259
03.04.2018	19836.73083
04.04.2018	21186.73729
05.04.2018	19325.09202
06.04.2018	19441.45843
07.04.2018	18693.65941
08.04.2018	19339.46774
09.04.2018	19728.02934
10.04.2018	19371.72905
11.04.2018	19614.47594
12.04.2018	20358.72617
13.04.2018	22991.21312
14.04.2018	22979.6367
15.04.2018	23117.80423
16.04.2018	24411.88024
17.04.2018	23830.16875
18.04.2018	23530.92459
19.04.2018	24779.08693
20.04.2018	26061.92158
21.04.2018	27597.5128
22.04.2018	28026.61972
23.04.2018	28062.72042
24.04.2018	28951.205
25.04.2018	31671.65866
26.04.2018	28205.37682
27.04.2018	29977.15552
28.04.2018	29147.5142
29.04.2018	30639.1297
30.04.2018	31331.35692
01.05.2018	30253.64684
02.05.2018	30191.75528
03.05.2018	30722.88554
04.05.2018	32510.02033
05.05.2018	32491.57092
06.05.2018	33430.97631
07.05.2018	32750.57607
08.05.2018	31565.56798
09.05.2018	31027.32244
10.05.2018	31102.09306
11.05.2018	29828.90734
